Id,ItemId,RM,PRO,FIN,Mid
25048,57908,0,1,0,4304
25049,59773,1,0,0,4304
25050,59773,0,1,0,4304
25051,59913,1,0,0,4304
25052,59913,0,1,0,4304
25053,59973,1,0,0,4304
25054,59973,0,1,0,4304
25055,59536,1,0,0,4304
25056,59536,0,1,0,4304
25057,59632,1,0,0,4305
25058,59632,0,1,0,4305
25059,59497,1,0,0,4305
25060,59497,0,1,0,4305
25061,59471,1,0,0,4305
25062,59471,0,1,0,4305
25063,59463,1,0,0,4305
25064,59463,0,1,0,4305
25065,59563,1,0,0,4305
25066,59563,0,1,0,4305
25067,59846,1,0,0,4305
25068,59846,0,1,0,4305
25069,59457,1,0,0,4305
25070,59457,0,1,0,4305
25071,59630,1,0,0,4305
25072,59630,0,1,0,4305
25073,59555,1,0,0,4305
25074,59555,0,1,0,4305
25075,60326,1,0,0,4306
25076,60326,0,1,0,4306
25077,59943,1,0,0,4306
25078,59943,0,1,0,4306
25079,58229,1,0,0,4306
25080,58229,0,1,0,4306
25081,58230,1,0,0,4306
25082,58230,0,1,0,4306
25083,57677,0,0,1,4307
25084,58199,1,0,0,4308
25085,58199,0,1,0,4308
25086,59633,1,0,0,4309
25087,59799,0,0,1,4309
25088,59909,0,0,1,4309
25089,59911,0,0,1,4309
25090,57958,0,0,1,4310
25091,57899,0,0,1,4310
25092,58094,0,0,1,4310
25093,58144,0,0,1,4310
25094,58181,0,0,1,4310
25095,58101,0,0,1,4310
25096,58177,0,0,1,4310
25097,58113,0,0,1,4310
25098,58169,0,0,1,4310
25099,58008,0,0,1,4310
25100,57951,0,0,1,4310
25101,57946,0,0,1,4310
25102,57942,0,0,1,4310
25103,58023,0,0,1,4310
25104,58038,0,0,1,4310
25105,58024,0,0,1,4310
25106,58084,0,0,1,4310
25107,57576,0,0,1,4311
25108,57724,0,0,1,4311
25109,57644,0,0,1,4311
25110,57629,0,0,1,4311
25111,57661,0,0,1,4311
25112,57637,0,0,1,4311
25113,57798,0,0,1,4311
25114,57975,0,0,1,4312
25115,57691,0,0,1,4312
25116,57684,0,0,1,4312
25117,57676,0,0,1,4312
25118,57767,0,0,1,4312
25119,57787,0,0,1,4312
25120,57604,0,0,1,4312
25121,57611,0,0,1,4312
25122,57778,0,0,1,4312
25123,57762,0,0,1,4312
25124,57883,0,0,1,4312
25125,57734,0,0,1,4312
25126,57735,0,0,1,4312
25127,57736,0,0,1,4312
25128,59708,0,0,1,4313
25129,59698,0,0,1,4313
25130,59745,0,0,1,4313
25131,59019,0,0,1,4313
25132,59891,0,0,1,4313
25133,59689,0,0,1,4313
25134,59694,0,0,1,4313
25135,59685,0,0,1,4313
25136,59687,0,0,1,4313
25137,59749,0,0,1,4313
25138,59744,0,0,1,4313
25139,59234,0,0,1,4313
25140,59704,0,0,1,4313
25141,59692,0,0,1,4314
25142,59701,0,0,1,4314
25143,59221,0,0,1,4314
25144,59697,0,0,1,4314
25145,59240,0,0,1,4314
