Id,MId,PONo,PRNo,PRId,SPRNo,SPRId,Qty,Rate,Discount,AddDesc,PF,ExST,VAT,DelDate,AmendmentNo,BudgetCode,PODId
43763,8161,0866,,0,0782,25824,15.0,1.3,0.0,,1,31,94,2021-12-13,0,2,63484
43764,8161,0866,,0,0782,25823,50.0,4.8,55.0,,1,31,94,2021-12-13,0,2,63485
43765,8161,0866,,0,0782,25822,50.0,5.96,55.0,,1,31,94,2021-12-13,0,2,63486
43766,8161,0866,,0,0782,25821,1000.0,4.8,0.0,,1,31,94,2021-12-13,0,2,63487
43767,8161,0866,,0,0782,25820,1000.0,3.2,0.0,,1,31,94,2021-12-13,0,2,63488
43768,8161,0866,,0,0782,25819,1120.0,3.09,0.0,,1,31,94,2021-12-13,0,2,63489
43769,8161,0866,,0,0782,25818,120.0,14.63,55.0,,1,31,94,2021-12-13,0,2,63490
43770,8161,0866,,0,0782,25817,20.0,20.2,0.0,,1,31,94,2021-12-13,0,2,63491
43771,8162,0866,,0,0782,25824,15.0,1.3,0.0,,1,31,94,2021-12-13,0,2,63484
43772,8162,0866,,0,0782,25823,50.0,4.8,55.0,,1,31,94,2021-12-13,0,2,63485
43773,8162,0866,,0,0782,25822,50.0,5.96,55.0,,1,31,94,2021-12-13,0,2,63486
43774,8162,0866,,0,0782,25821,1000.0,4.8,0.0,,1,31,94,2021-12-13,0,2,63487
43775,8162,0866,,0,0782,25820,1000.0,3.2,0.0,,1,31,94,2021-12-13,0,2,63488
43776,8162,0866,,0,0782,25819,2120.0,3.09,0.0,,1,31,94,2022-01-08,1,2,63489
43777,8162,0866,,0,0782,25818,120.0,14.63,55.0,,1,31,94,2021-12-13,0,2,63490
43778,8162,0866,,0,0782,25817,20.0,20.2,0.0,,1,31,94,2021-12-13,0,2,63491
43779,8163,0978,,0,0892,26116,1.0,90.0,0.0,"1250 x 11 mtr Roll- 1 nos
rate 13.75 sq. mtr x 400 rs",1,31,94,2022-01-10,0,1,63862
43780,8168,0979,,0,0895,26135,4.0,21400.0,0.0,,1,31,94,2022-01-10,0,2,63863
43781,8169,0546,,0,0506,25005,1.0,5628.0,0.0,,1,1,1,2021-08-14,0,0,62458
43782,8170,0981,,0,0898,26147,3.0,814.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63868
43783,8170,0981,,0,0898,26146,6.0,700.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63869
43784,8170,0981,,0,0898,26145,21.0,440.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63870
43785,8170,0981,,0,0898,26144,12.0,685.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63871
43786,8170,0981,,0,0898,26143,28.0,769.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63872
43787,8170,0981,,0,0898,26142,11.5,790.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63873
43788,8171,0981,,0,0898,26147,3.0,814.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63868
43789,8171,0981,,0,0898,26146,6.0,700.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63869
43790,8171,0981,,0,0898,26145,21.0,440.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63870
43791,8171,0981,,0,0898,26144,12.3,685.0,0.0,service charges 8%,1,1,1,2022-01-12,1,0,63871
43792,8171,0981,,0,0898,26143,28.2,769.0,0.0,service charges 8%,1,1,1,2022-01-12,1,0,63872
43793,8171,0981,,0,0898,26142,11.5,790.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63873
43794,8172,0981,,0,0898,26147,3.0,814.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63868
43795,8172,0981,,0,0898,26146,6.0,700.0,0.0,service charges 8%,1,1,1,2022-01-12,0,0,63869
