Id,PRNo,PId,CId,Qty,SupplierId,Rate,Discount,AHId,DelDate,Remarks,Type,ItemId,MId
38927,0120,,,4.0,S241,2550.0,0.0,28,2019-11-08,,,71555,8065
38928,0120,,,4.0,S241,1950.0,0.0,28,2019-11-08,,,71556,8065
38929,0121,,,22.0,S241,384.0,0.0,28,2019-11-09,,,71560,8066
38930,0122,,,4.0,S241,50.0,0.0,28,2019-11-09,,,71613,8067
38931,0123,,,10.0,S241,74.0,0.0,28,2019-11-12,,,71659,8068
38932,0123,,,10.0,S241,185.0,0.0,28,2019-11-12,,,71660,8068
38933,0123,,,10.0,S241,70.0,0.0,28,2019-11-12,,,71661,8068
38934,0123,,,10.0,S241,20.0,0.0,28,2019-11-12,,,71662,8068
38951,0124,,,4.0,S241,250.0,0.0,28,2019-11-12,,,71571,8070
38952,0124,,,22.0,S241,300.0,0.0,28,2019-11-12,,,71567,8070
38953,0124,,,4.0,S241,750.0,0.0,28,2019-11-12,,,71539,8070
38954,0125,,,2.0,G033,1100.0,0.0,28,2019-11-20,,,71381,8071
38955,0126,,,2.0,K008,162.0,0.0,28,2019-11-15,,,71716,8072
38956,0126,,,2.0,K008,200.0,0.0,28,2019-11-15,,,71725,8072
38957,0126,,,2.0,K008,163.0,0.0,28,2019-11-15,,,71726,8072
38958,0126,,,2.0,K008,139.0,0.0,28,2019-11-15,,,71717,8072
38959,0127,,,4.0,S241,450.0,0.0,28,2019-11-14,,,71590,8073
38960,0128,,,2.0,S241,95.0,0.0,28,2019-11-14,,,71720,8074
38961,0128,,,4.0,S241,150.0,0.0,28,2019-11-14,,,71723,8074
38962,0129,,,2.0,C031,550.0,0.0,28,2019-11-19,,,71761,8075
38963,0130,,,22.0,S241,196.0,0.0,28,2019-11-14,,,71562,8076
38964,0131,,,4.0,S241,150.0,0.0,28,2019-11-15,,,71592,8077
38965,0132,,,24.0,S241,240.0,0.0,28,2019-11-15,,,71770,8078
38966,0132,,,12.0,S241,150.0,0.0,28,2019-11-15,,,71811,8078
38967,0132,,,12.0,S241,170.0,0.0,28,2019-11-15,,,71812,8078
38968,0132,,,24.0,S241,150.0,0.0,28,2019-11-15,,,71813,8078
38969,0132,,,6.0,S241,165.0,0.0,28,2019-11-15,,,71814,8078
38990,0135,,,8.0,B011,1760.0,5.0,28,2019-11-20,,,71537,8081
38991,0135,,,2.0,B011,3800.0,5.0,28,2019-11-20,,,71538,8081
38992,0135,,,2.0,B011,2380.0,0.0,28,2019-11-23,,,71545,8081
38993,0135,,,1.0,B011,2380.0,5.0,28,2019-11-23,,,71546,8081
38994,0135,,,12.0,B011,1.0,5.0,28,2019-11-23,,,71378,8081
39006,0137,,,2.0,G027,28000.0,0.0,28,2019-11-23,,,71883,8083
39007,0138,,,12.0,B040,1536.0,30.0,28,2019-11-16,,,70174,8084
39008,0138,,,2.0,B040,25.0,0.0,28,2019-11-16,,,66802,8084
39009,0138,,,144.0,B040,660.0,0.0,28,2019-11-16,,,71848,8084
39010,0138,,,4.0,B040,2740.0,0.0,28,2019-11-16,,,71849,8084
39011,0138,,,4.0,B040,1890.0,0.0,28,2019-11-16,,,71852,8084
39012,0138,,,4.0,B040,1860.0,0.0,28,2019-11-08,,,71853,8084
39013,0139,,,4.0,G027,1.0,0.0,28,2019-11-16,,,71970,8085
39014,0140,,,44.0,S241,210.0,0.0,28,2019-11-16,,,71565,8086
39015,0140,,,22.0,S241,210.0,0.0,28,2019-11-16,,,71561,8086
39016,0140,,,1.0,S241,8400.0,0.0,28,2019-11-16,,,71876,8086
39017,0141,,,18.0,L002,1597.0,0.0,28,2019-11-11,,,59355,8087
39018,0141,,,29.0,L002,2710.0,0.0,28,2019-11-11,,,59354,8087
39019,0141,,,27.0,L002,1987.0,0.0,28,2019-11-11,,,60925,8087
39020,0141,,,68.0,L002,1.0,0.0,28,2019-11-11,,,60987,8087
39021,0141,,,5.5,L002,3716.0,0.0,28,2019-11-11,,,71840,8087
39022,0141,,,24.0,L002,1876.0,0.0,28,2019-11-11,,,61803,8087
39023,0141,,,3.0,L002,2866.0,0.0,28,2019-11-11,,,71841,8087
39024,0141,,,20.0,L002,1288.0,0.0,28,2019-11-11,,,71842,8087
39025,0141,,,44.0,L002,6140.0,0.0,28,2019-11-11,,,60927,8087
39026,0141,,,12.0,L002,3089.0,0.0,28,2019-11-11,,,60928,8087
39027,0142,,,44.0,A063,172.7,0.0,42,2019-11-20,,,71973,8088
39028,0143,,,6.0,S241,180.0,0.0,28,2019-11-18,,,71915,8089
39029,0143,,,36.0,S241,370.0,0.0,28,2019-11-18,,,71570,8089
39030,0144,,,4.0,S241,200.0,0.0,28,2019-11-18,,,71921,8090
39031,0145,,,2.0,S241,150.0,0.0,28,2019-11-18,,,71742,8091
39032,0146,,,4.0,S241,50.0,0.0,28,2019-11-18,,,71763,8092
39033,0147,,,2.0,S241,300.0,0.0,28,2019-11-18,,,71728,8093
39034,0147,,,1.0,S241,300.0,0.0,28,2019-11-18,,,71733,8093
39035,0147,,,1.0,S241,300.0,0.0,28,2019-11-18,,,71734,8093
39036,0147,,,2.0,S241,300.0,0.0,28,2019-11-18,,,71727,8093
39037,0147,,,2.0,S241,220.0,0.0,28,2019-11-18,,,71721,8093
39038,0147,,,1.0,S241,600.0,0.0,28,2019-11-18,,,71718,8093
39039,0147,,,2.0,S241,1000.0,0.0,28,2019-11-18,,,71719,8093
39040,0147,,,2.0,S241,1000.0,0.0,28,2019-11-18,,,71731,8093
39041,0147,,,8.0,S241,50.0,0.0,28,2019-11-18,,,71920,8093
39042,0147,,,4.0,S241,150.0,0.0,28,2019-11-18,,,71714,8093
39043,0147,,,4.0,S241,150.0,0.0,28,2019-11-18,,,71715,8093
39044,0147,,,4.0,S241,50.0,0.0,28,2019-11-18,,,71722,8093
39045,0147,,,2.0,S241,200.0,0.0,28,2019-11-18,,,71729,8093
39046,0147,,,2.0,S241,150.0,0.0,28,2019-11-18,,,71730,8093
39047,0147,,,1.0,S241,200.0,0.0,28,2019-11-18,,,71735,8093
39048,0148,,,6.0,S241,450.0,0.0,28,2019-11-19,,,71918,8094
39049,0149,,,186.0,O013,45.0,0.0,42,2019-11-22,,,72007,8095
