Id,MId,GSNNo,POId,ReceivedQty
4674,2591,0176,44278,15.0
4675,2592,0177,44275,2346.0
4676,2592,0177,44276,103.0
4677,2592,0177,44277,914.0
4678,2592,0177,44278,23.0
4679,2593,0178,44275,2294.0
4680,2593,0178,44276,387.0
4681,2593,0178,44277,693.0
4682,2593,0178,44278,67.0
4683,2594,0179,44275,5041.0
4684,2594,0179,44276,166.0
4685,2594,0179,44277,585.0
4686,2594,0179,44278,34.0
4687,2595,0180,44275,3635.0
4688,2595,0180,44276,235.0
4689,2595,0180,44277,643.0
4690,2595,0180,44278,53.0
4691,2596,0181,44275,5172.0
4692,2596,0181,44276,472.0
4693,2596,0181,44277,797.0
4694,2596,0181,44278,78.0
4695,2597,0182,44275,5074.0
4696,2597,0182,44276,328.0
4697,2597,0182,44277,1072.0
4698,2597,0182,44278,59.0
4699,2598,0183,44275,2521.0
4700,2598,0183,44276,185.0
4701,2598,0183,44277,317.0
4702,2598,0183,44278,26.0
4703,2599,0184,44275,942.0
4704,2599,0184,44276,53.0
4705,2599,0184,44277,356.0
4706,2599,0184,44278,25.0
4707,2600,0185,44275,1702.0
4708,2600,0185,44276,63.0
4709,2600,0185,44277,197.0
4710,2600,0185,44278,9.0
4711,2601,0186,44275,1966.0
4712,2601,0186,44276,132.0
4713,2601,0186,44277,376.0
4714,2601,0186,44278,57.0
4715,2602,0187,44275,1124.0
4716,2602,0187,44276,369.0
4717,2602,0187,44277,630.0
4718,2602,0187,44278,40.0
4719,2603,0188,44275,749.0
4720,2603,0188,44276,96.0
4721,2603,0188,44277,218.0
4722,2603,0188,44278,218.0
4723,2604,0189,44275,695.0
4724,2604,0189,44276,28.0
4725,2604,0189,44277,112.0
4726,2604,0189,44278,4.0
4727,2605,0190,54114,36.0
4728,2605,0190,54115,36.0
4729,2605,0190,54116,110.0
4730,2606,0191,54123,25.0
4731,2606,0191,54127,10.0
4732,2607,0192,51784,11.0
4733,2608,0193,53815,100.0
4734,2609,0194,53811,1.0
4735,2610,0195,53806,6.0
4736,2611,0196,53777,1.0
4737,2612,0197,53776,1.0
4738,2613,0198,53764,1.0
4739,2613,0198,53765,1.0
4740,2613,0198,53766,1.0
4741,2613,0198,53767,1.0
4742,2614,0199,53772,1.0
4743,2614,0199,53773,1.0
4744,2614,0199,53774,1.0
4745,2614,0199,53775,1.0
4746,2615,0200,53760,1.0
4747,2615,0200,53761,1.0
4748,2615,0200,53762,1.0
4749,2615,0200,53763,1.0
4750,2616,0201,53768,1.0
4751,2616,0201,53769,1.0
4752,2616,0201,53770,1.0
4753,2616,0201,53771,1.0
4754,2617,0202,53759,1.0
4755,2618,0203,55000,10.0
4756,2619,0204,55019,1.0
4757,2619,0204,55020,1.0
4758,2620,0205,55021,1.0
4759,2620,0205,55022,1.0
4760,2621,0206,55005,1.0
4761,2622,0207,55014,1.0
4762,2623,0208,55013,1.0
4763,2624,0209,55012,1.0
4764,2625,0210,55011,1.0
4765,2626,0211,55010,1.0
4766,2627,0212,55009,1.0
4767,2628,0213,55008,1.0
4768,2629,0214,55017,1.0
4769,2629,0214,55018,1.0
4770,2630,0215,55016,1.0
4771,2631,0216,55004,1.0
4772,2632,0217,55006,1.0
4773,2633,0218,55029,1.0
4774,2634,0219,55028,1.0
4775,2635,0220,55055,4.0
4776,2636,0221,47305,5700.0
4777,2637,0222,54411,80.0
4778,2638,0223,55056,2.0
4779,2639,0224,55731,6.0
4780,2640,0225,55162,50.0
4781,2641,0226,55438,3.8
4782,2642,0227,53335,1.0
4783,2643,0228,55450,5.0
4784,2643,0228,55451,1.0
4785,2643,0228,55452,4.0
4786,2643,0228,55453,1.0
4787,2643,0228,55454,1.0
4788,2643,0228,55455,1.0
4789,2643,0228,55456,2.0
4790,2643,0228,55457,1.0
4791,2644,0229,55459,1.0
4792,2645,0230,55460,1.0
4793,2646,0231,55461,1.0
4794,2646,0231,55462,1.0
4795,2646,0231,55463,3.0
4796,2646,0231,55464,4.0
4797,2647,0232,55770,45.6
4798,2648,0233,55764,3.0
4799,2649,0234,55057,1.0
4800,2650,0235,55730,1.0
4801,2651,0236,55732,1.0
4802,2651,0236,55733,1.0
4803,2652,0237,55446,12.0
4804,2653,0238,55891,2.0
4805,2653,0238,55892,1.0
4806,2653,0238,55893,1800.0
4807,2653,0238,55894,1800.0
4808,2653,0238,55895,1500.0
4809,2653,0238,55896,6.0
4810,2654,0239,54540,4.0
4811,2655,0240,55915,40.0
4812,2656,0241,55957,1.0
4813,2656,0241,55958,1.0
4814,2657,0242,44275,3730.0
4815,2657,0242,44276,362.0
4816,2657,0242,44277,698.0
4817,2657,0242,44278,55.0
4818,2658,0243,56107,1.0
4819,2658,0243,56108,1.0
4820,2658,0243,56109,1.0
4821,2658,0243,56110,1.0
4822,2659,0244,56114,4.0
4823,2660,0245,56111,1.0
4824,2660,0245,56112,1.0
4825,2660,0245,56113,1.0
4826,2661,0246,56099,1.0
4827,2661,0246,56100,1.0
4828,2661,0246,56101,1.0
4829,2661,0246,56102,1.0
4830,2662,0247,56103,1.0
4831,2662,0247,56104,1.0
4832,2662,0247,56105,1.0
4833,2662,0247,56106,1.0
4834,2663,0248,56088,1.0
4835,2663,0248,56089,1.0
4836,2663,0248,56090,1.0
4837,2664,0249,56091,1.0
4838,2664,0249,56092,1.0
4839,2664,0249,56093,1.0
4840,2664,0249,56094,1.0
4841,2665,0250,56095,1.0
4842,2665,0250,56096,1.0
4843,2665,0250,56097,1.0
4844,2665,0250,56098,1.0
4845,2666,0251,56122,48.0
4846,2667,0252,53731,2.0
4847,2668,0253,56185,3.0
4848,2668,0253,56186,30.0
4849,2669,0254,56184,1.0
4850,2670,0255,56183,1.0
4851,2671,0256,56181,1.0
4852,2672,0257,56176,1.0
4853,2673,0258,56177,1.0
4854,2673,0258,56178,2.0
4855,2674,0259,56180,1.0
4856,2675,0260,56172,1.0
4857,2675,0260,56173,1.0
4858,2675,0260,56174,1.0
4859,2675,0260,56175,1.0
4860,2676,0261,56171,1.0
4861,2677,0262,56169,1.0
4862,2677,0262,56170,1.0
4863,2678,0263,55976,1.0
4864,2679,0264,55975,1.0
4865,2680,0265,55974,1.0
4866,2681,0266,53551,2.0
4867,2681,0266,53552,1.0
4868,2682,0267,56117,4.0
4869,2683,0268,56116,4.0
4870,2684,0269,56115,4.0
4871,2685,0270,56000,25.0
4872,2686,0271,56041,5.0
4873,2687,0272,56037,45.0
4874,2688,0273,56260,1.0
4875,2689,0274,56351,150.0
4876,2690,0275,56187,1.0
4877,2691,0276,56264,1.0
4878,2691,0276,56265,1.0
4879,2691,0276,56266,1.0
4880,2692,0277,56263,3.0
4881,2693,0278,56262,4.0
4882,2694,0279,56432,75.0
4883,2695,0280,56452,2.0
4884,2696,0281,56443,1.0
4885,2696,0281,56444,1.0
4886,2696,0281,56445,1.0
4887,2696,0281,56446,1.0
4888,2697,0282,56447,1.0
4889,2698,0283,56448,1.0
4890,2699,0284,56450,1.0
4891,2700,0285,56429,50.0
4892,2701,0286,56424,50.0
4893,2702,0287,56451,4.0
4894,2703,0288,56552,2.0
4895,2703,0288,56553,2.0
4896,2703,0288,56554,2.0
4897,2703,0288,56555,2.0
4898,2703,0288,56556,1.0
4899,2703,0288,56557,2.0
4900,2703,0288,56558,2.0
4901,2703,0288,56559,1.0
4902,2703,0288,56560,1.0
4903,2703,0288,56561,2.0
4904,2703,0288,56562,1.0
4905,2703,0288,56563,2.0
4906,2703,0288,56564,2.0
4907,2703,0288,56565,2.0
4908,2703,0288,56566,1.0
4909,2703,0288,56567,2.0
4910,2703,0288,56568,2.0
4911,2703,0288,56569,2.0
4912,2703,0288,56570,2.0
4913,2703,0288,56571,2.0
4914,2703,0288,56572,2.0
4915,2704,0289,56525,2.0
4916,2704,0289,56526,2.0
4917,2704,0289,56527,2.0
4918,2704,0289,56528,2.0
4919,2704,0289,56529,4.0
4920,2704,0289,56530,2.0
4921,2704,0289,56531,2.0
4922,2704,0289,56532,2.0
4923,2704,0289,56533,2.0
