Id,SysDate,SysTime,CompId,FinYearId,SessionId,ItemId,LockUnlock,Type,LockedbyTranaction,LockDate,LockTime
16513,2022-02-15,5:17:52 PM,1,9,sapl0350,86945,0,2,Sapl0324,2022-03-06,5:02:55 PM
16514,2022-02-15,5:18:21 PM,1,9,sapl0350,86944,0,2,Sapl0324,2022-03-06,5:02:55 PM
16515,2022-02-15,5:23:29 PM,1,9,sapl0350,86941,0,2,Sapl0324,2022-03-06,5:02:55 PM
16516,2022-02-15,5:24:31 PM,1,9,sapl0350,86943,0,2,Sapl0324,2022-03-06,5:02:55 PM
16517,2022-02-15,5:25:43 PM,1,9,sapl0350,86942,0,2,Sapl0324,2022-03-06,5:02:55 PM
16518,2022-02-18,3:42:05 PM,1,9,Sapl0324,6575,0,2,SAPL0001,2022-03-31,12:16:36 PM
16519,2022-02-19,1:50:19 PM,1,9,Sapl0324,85803,0,2,Sapl0002,2023-02-10,6:14:21 PM
16520,2022-02-19,1:54:54 PM,1,9,Sapl0324,6591,0,2,0739,2022-10-07,10:27:29 AM
16521,2022-02-20,11:39:41 AM,1,9,sapl0350                                          ,86931,0,2,Sapl0324,2022-03-31,9:30:42 AM
16522,2022-02-20,11:40:46 AM,1,9,sapl0350                                          ,73944,0,2,Sapl0324,2022-03-31,9:30:42 AM
16523,2022-02-20,1:01:36 PM,1,9,sapl0350,84491,0,2,Sapl0324,2022-03-06,5:02:55 PM
16524,2022-02-20,1:39:56 PM,1,9,sapl0350,86232,0,2,sapl0290,2022-03-14,5:05:19 PM
16525,2022-02-20,4:21:36 PM,1,9,sapl0350,4120,0,2,Sapl0324,2022-03-31,9:30:42 AM
16526,2022-02-20,4:25:55 PM,1,9,sapl0350,84472,1,1,,,
16527,2022-02-20,4:26:56 PM,1,9,sapl0350,84397,0,2,Sapl0324,2022-11-03,3:20:15 PM
16528,2022-02-20,4:28:20 PM,1,9,sapl0350,83409,0,2,Sapl0002,2023-02-10,6:14:21 PM
16529,2022-02-20,4:31:08 PM,1,9,sapl0350,59779,0,2,Sapl0324,2022-03-31,9:30:42 AM
16530,2022-02-20,4:33:26 PM,1,9,sapl0350,84470,0,2,1020,2022-12-30,10:38:16 AM
16531,2022-02-20,4:38:15 PM,1,9,sapl0350,11873,0,2,Sapl0324,2022-03-31,9:30:42 AM
16532,2022-02-20,4:41:11 PM,1,9,sapl0350,83410,0,2,Sapl0324,2022-11-03,3:20:15 PM
16533,2022-02-20,4:42:18 PM,1,9,sapl0350,74521,0,2,1234,2023-02-11,4:13:32 PM
16534,2022-02-21,1:18:27 PM,1,9,sapl0350,84491,0,2,Sapl0324,2022-03-06,5:02:55 PM
16535,2022-02-21,1:54:25 PM,1,9,sapl0350                                         ,81249,0,2,Sapl0002,2023-02-10,6:14:21 PM
16536,2022-02-21,1:55:37 PM,1,9,sapl0350                                         ,81272,0,2,Sapl0324,2022-11-21,9:32:44 AM
16537,2022-02-21,2:02:53 PM,1,9,sapl0350                                         ,84491,0,2,Sapl0324,2022-03-06,5:02:55 PM
16538,2022-02-21,4:38:39 PM,1,9,sapl0350                                         ,83429,0,2,Sapl0324,2022-11-21,9:32:44 AM
16539,2022-02-21,4:51:07 PM,1,9,sapl0350                                         ,86195,0,2,sapl0290,2022-03-22,4:48:29 PM
16540,2022-02-22,9:40:14 AM,1,9,sapl0350,70732,0,2,Sapl0324,2022-03-31,9:30:42 AM
16541,2022-02-22,9:42:18 AM,1,9,sapl0350,85188,0,2,0906,2022-11-16,2:07:15 PM
16542,2022-02-22,9:43:10 AM,1,9,sapl0350,83877,0,2,SAPL0001,2022-03-31,12:16:36 PM
16543,2022-02-22,9:49:24 AM,1,9,sapl0350,68655,0,2,SAPL0001,2022-03-31,9:41:49 AM
16544,2022-02-22,9:50:24 AM,1,9,sapl0350,86494,0,2,0959,2022-12-08,2:35:07 PM
16545,2022-02-22,9:56:17 AM,1,9,sapl0350,5659,0,2,Sapl0324,2022-11-24,3:59:55 PM
16546,2022-02-22,10:16:00 AM,1,9,sapl0350,865,0,2,SAPL0324,2022-06-27,11:45:26 AM
16547,2022-02-22,10:17:31 AM,1,9,sapl0350,5659,0,2,Sapl0324,2022-11-24,3:59:55 PM
16548,2022-02-22,10:19:06 AM,1,9,sapl0350,6575,0,2,SAPL0001,2022-03-31,12:16:36 PM
16549,2022-02-22,10:20:33 AM,1,9,sapl0350,5604,0,2,sapl0290,2022-03-22,4:48:29 PM
16550,2022-02-22,10:24:36 AM,1,9,sapl0350,5700,0,2,Sapl0324,2022-03-31,9:30:42 AM
16551,2022-02-22,10:25:33 AM,1,9,sapl0350,5517,0,2,sapl0290,2022-03-22,4:48:29 PM
