Id,MId,CompId,SessionId,FinYearId,FileName,FileSize,ContentType,FileData
123,2755,1,sapl0173,2,HARDTECH HARDWARE INV 37 DTD 07.04.2014.jpg,1844285.0,image/jpeg,
124,2756,1,sapl0173,2,HARDTECH HARDWARE INV 38 DTD 07.04.2014.jpg,1772481.0,image/jpeg,
125,2757,1,sapl0173,2,HARDTECH HARDWARE INV 50 DTD 08.04.2014.jpg,1934325.0,image/jpeg,
126,2758,1,sapl0173,2,HARDTECH HARDWARE INV 96 DTD 18.04.2014.jpg,2029910.0,image/jpeg,
127,2759,1,sapl0173,2,PRECISE SYSTEMS INV 99 DTD 20.04.2014.jpg,1302235.0,image/jpeg,
128,2760,1,sapl0173,2,NASIK AUTOWELD SYSTEMS PVT LTD INV 89 DTD 25.04.2014.jpg,1222149.0,image/jpeg,
129,2761,1,sapl0173,2,SAI ENGINEERING INV IN002 DTD 28.04.2014.jpg,993271.0,image/jpeg,
130,2762,1,sapl0173,2,TUFFPLAST PUNE PVT LTD INV 1402 DTD 29.03.2014.jpg,893648.0,image/jpeg,
131,2763,1,sapl0173,2,HI TECH CORP INV 14-16 DTD 02.04.2014.jpg,1056222.0,image/jpeg,
132,2764,1,sapl0173,2,AVMOUNTS INDIA INV 72 DTD 22.04.2014.jpg,1295659.0,image/jpeg,
133,2765,1,sapl0173,2,WAGO LTD INV 016083 DTD 24.03.2014.jpg,1404063.0,image/jpeg,
134,2766,1,sapl0173,2,WAGO LTD INV 016084 DTD 24.03.2014.jpg,1323144.0,image/jpeg,
135,2767,1,sapl0173,2,VIKAS ENGINEERING WORKS INV 004 DTD 30.04.2014.jpg,1055429.0,image/jpeg,
136,2768,1,sapl0173,2,VIKAS ENGINEERING WORKS INV 003 DTD 30.04.2014.jpg,912651.0,image/jpeg,
137,2769,1,sapl0173,2,VIKAS ENGINEERING WORKS INV 001 DTD 30.04.2014.jpg,967426.0,image/jpeg,
138,2770,1,sapl0173,2,PROTON SOLUTIONS INV 4006 DTD 05.04.2014.jpg,1029801.0,image/jpeg,
139,2771,1,sapl0173,2,SAI ENTERPRISES INV 06 DTD 09.04.2014.jpg,938269.0,image/jpeg,
140,2772,1,sapl0173,2,SAI ENTERPRISES INV 09 DTD 10.04.2014.jpg,860479.0,image/jpeg,
141,2773,1,sapl0173,2,SHIV ENGINEERS INV 30 DTD 04.04.2014.jpg,1266905.0,image/jpeg,
142,2774,1,sapl0173,2,SHIV ENGINEERS INV 28 DTD 04.04.2014.jpg,1188140.0,image/jpeg,
143,2735,1,sapl0173,2,VIKAS ENT INV  P00085 DTD 10.04.2014.jpg,1191969.0,image/jpeg,
144,2736,1,sapl0173,2,SIDHAKALA ENTERPRISES INV 022 DTD 26.03.2014.jpg,768294.0,image/jpeg,
145,2737,1,sapl0173,2,NILESH ENGINEERING WORKS INV 874 DTD 15.04.2014.jpg,1169273.0,image/jpeg,
146,2738,1,sapl0173,2,HARDTECH HARDWARE INV 108 DTD 19.04.2014.jpg,1845824.0,image/jpeg,
147,2739,1,sapl0173,2,HARDTECH HARDWARE INV 41 DTD 07.04.2014.jpg,1700664.0,image/jpeg,
148,2740,1,sapl0173,2,HARDTECH HARDWARE INV 54 DTD 08.04.2014.jpg,1834368.0,image/jpeg,
149,2741,1,sapl0173,2,HARDTECH HARDWARE INV 65 DTD 21.04.2014.jpg,1730702.0,image/jpeg,
150,2742,1,sapl0173,2,HARDTECH HARDWARE INV 65 DTD 21.04.2014.jpg,1730702.0,image/jpeg,
151,2743,1,sapl0173,2,HARDTECH HARDWARE INV 81 DTD 15.04.2014.jpg,1934103.0,image/jpeg,
152,2744,1,sapl0173,2,HARDTECH HARDWARE INV 81 DTD 15.04.2014.jpg,1934103.0,image/jpeg,
153,2745,1,sapl0173,2,HARDTECH HARDWARE INV 55 DTD 09.04.2014.jpg,1851772.0,image/jpeg,
154,2746,1,sapl0173,2,HARDTECH HARDWARE INV 82 DTD 15.04.2014.jpg,1869068.0,image/jpeg,
155,2747,1,sapl0173,2,HARDTECH HARDWARE INV 35 DTD 07.04.2014.jpg,1777342.0,image/jpeg,
156,2748,1,sapl0173,2,HARDTECH HARDWARE INV 51 DTD 08.04.2014.jpg,1889862.0,image/jpeg,
157,2749,1,sapl0173,2,HARDTECH HARDWARE INV 2171 DTD 31.03.2014.jpg,1842003.0,image/jpeg,
158,2750,1,sapl0173,2,HARDTECH HARDWARE INV 72 DTD 12.04.2014.jpg,1728349.0,image/jpeg,
159,2751,1,sapl0173,2,HARDTECH HARDWARE INV 68 DTD 12.04.2014.jpg,1744001.0,image/jpeg,
160,2752,1,sapl0173,2,HARDTECH HARDWARE INV 91 DTD 16.04.2014.jpg,1895214.0,image/jpeg,
