Id,GQNNo,GRRId,NormalAccQty,AcceptedQty,DeviatedQty,SegregatedQty,RejectedQty,RejectionReason,SN,PN,Remarks,MId
42351,0126,42620,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42352,0126,42621,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42353,0126,42622,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42354,0126,42623,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42355,0126,42624,2.0,2.0,0.0,0.0,0.0,0,,,,11933
42356,0126,42625,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42357,0126,42626,6.0,6.0,0.0,0.0,0.0,0,,,,11933
42358,0126,42627,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42359,0126,42628,16.0,16.0,0.0,0.0,0.0,0,,,,11933
42360,0126,42629,10.0,10.0,0.0,0.0,0.0,0,,,,11933
42361,0127,43379,25.0,25.0,0.0,0.0,0.0,0,,,,11934
42362,0127,43380,10.0,10.0,0.0,0.0,0.0,0,,,,11934
42363,0127,43381,30.0,30.0,0.0,0.0,0.0,0,,,,11934
42364,0128,43376,22.0,22.0,0.0,0.0,0.0,0,,,,11935
42365,0128,43377,13.0,13.0,0.0,0.0,0.0,0,,,,11935
42366,0128,43378,20.0,20.0,0.0,0.0,0.0,0,,,,11935
42367,0129,43416,120.0,120.0,0.0,0.0,0.0,0,,,,11936
42368,0129,43417,20.0,20.0,0.0,0.0,0.0,0,,,,11936
42369,0130,43402,40.0,40.0,0.0,0.0,0.0,0,,,,11937
42370,0130,43403,60.0,60.0,0.0,0.0,0.0,0,,,,11937
42371,0131,43388,20.0,20.0,0.0,0.0,0.0,0,,,,11938
42372,0131,43389,230.0,230.0,0.0,0.0,0.0,0,,,,11938
42373,0131,43390,50.0,50.0,0.0,0.0,0.0,0,,,,11938
42374,0131,43391,100.0,100.0,0.0,0.0,0.0,0,,,,11938
42375,0131,43392,50.0,50.0,0.0,0.0,0.0,0,,,,11938
42376,0131,43393,50.0,50.0,0.0,0.0,0.0,0,,,,11938
42377,0131,43394,100.0,100.0,0.0,0.0,0.0,0,,,,11938
42378,0131,43395,50.0,50.0,0.0,0.0,0.0,0,,,,11938
42379,0131,43396,1.0,1.0,0.0,0.0,0.0,0,,,,11938
42380,0131,43397,50.0,50.0,0.0,0.0,0.0,0,,,,11938
42381,0131,43398,100.0,100.0,0.0,0.0,0.0,0,,,,11938
42382,0131,43399,203.0,203.0,0.0,0.0,0.0,0,,,,11938
42383,0131,43400,40.0,40.0,0.0,0.0,0.0,0,,,,11938
42384,0131,43401,150.0,150.0,0.0,0.0,0.0,0,,,,11938
42385,0132,43387,50.0,50.0,0.0,0.0,0.0,0,,,,11939
42386,0133,43384,32.4,32.4,0.0,0.0,0.0,0,,,,11940
42387,0133,43385,11.0,11.0,0.0,0.0,0.0,0,,,,11940
42388,0133,43386,10.6,10.6,0.0,0.0,0.0,0,,,,11940
42389,0134,43383,1.0,1.0,0.0,0.0,0.0,0,,,,11941
42390,0135,43382,5.0,5.0,0.0,0.0,0.0,0,,,,11942
42391,0136,43360,13.0,13.0,0.0,0.0,0.0,0,,,,11943
42392,0136,43361,200.0,200.0,0.0,0.0,0.0,0,,,,11943
42393,0136,43362,500.0,500.0,0.0,0.0,0.0,0,,,,11943
42394,0136,43363,250.0,250.0,0.0,0.0,0.0,0,,,,11943
42395,0136,43364,8.0,8.0,0.0,0.0,0.0,0,,,,11943
42396,0136,43365,15.0,15.0,0.0,0.0,0.0,0,,,,11943
42397,0136,43366,15.0,15.0,0.0,0.0,0.0,0,,,,11943
42398,0136,43367,5.0,5.0,0.0,0.0,0.0,0,,,,11943
42399,0136,43368,125.0,125.0,0.0,0.0,0.0,0,,,,11943
42400,0136,43369,10.0,10.0,0.0,0.0,0.0,0,,,,11943
42401,0136,43370,1200.0,1200.0,0.0,0.0,0.0,0,,,,11943
42402,0136,43371,144.0,144.0,0.0,0.0,0.0,0,,,,11943
42403,0136,43372,10.0,10.0,0.0,0.0,0.0,0,,,,11943
42404,0136,43373,290.0,290.0,0.0,0.0,0.0,0,,,,11943
42405,0136,43374,20.0,20.0,0.0,0.0,0.0,0,,,,11943
42406,0136,43375,448.0,448.0,0.0,0.0,0.0,0,,,,11943
42407,0137,43344,24.0,24.0,0.0,0.0,0.0,0,,,,11944
42408,0137,43345,10.0,10.0,0.0,0.0,0.0,0,,,,11944
42409,0137,43346,38.0,38.0,0.0,0.0,0.0,0,,,,11944
42410,0137,43347,32.0,32.0,0.0,0.0,0.0,0,,,,11944
42411,0137,43348,68.0,68.0,0.0,0.0,0.0,0,,,,11944
42412,0137,43349,302.0,302.0,0.0,0.0,0.0,0,,,,11944
42413,0137,43350,129.0,129.0,0.0,0.0,0.0,0,,,,11944
42414,0137,43351,39.0,39.0,0.0,0.0,0.0,0,,,,11944
42415,0137,43352,4.0,4.0,0.0,0.0,0.0,0,,,,11944
42416,0137,43353,5.0,5.0,0.0,0.0,0.0,0,,,,11944
42417,0137,43354,30.0,30.0,0.0,0.0,0.0,0,,,,11944
42418,0137,43355,136.0,136.0,0.0,0.0,0.0,0,,,,11944
42419,0137,43356,887.0,887.0,0.0,0.0,0.0,0,,,,11944
42420,0137,43357,1453.0,1453.0,0.0,0.0,0.0,0,,,,11944
42421,0137,43358,347.0,347.0,0.0,0.0,0.0,0,,,,11944
42422,0137,43359,236.0,236.0,0.0,0.0,0.0,0,,,,11944
42423,0138,43328,5.0,5.0,0.0,0.0,0.0,0,,,,11945
42424,0138,43329,10.0,10.0,0.0,0.0,0.0,0,,,,11945
42425,0138,43330,20.0,20.0,0.0,0.0,0.0,0,,,,11945
42426,0138,43331,10.0,10.0,0.0,0.0,0.0,0,,,,11945
42427,0138,43332,63.0,63.0,0.0,0.0,0.0,0,,,,11945
42428,0138,43333,78.0,78.0,0.0,0.0,0.0,0,,,,11945
42429,0138,43334,35.0,35.0,0.0,0.0,0.0,0,,,,11945
42430,0138,43335,10.0,10.0,0.0,0.0,0.0,0,,,,11945
42431,0138,43336,26.0,26.0,0.0,0.0,0.0,0,,,,11945
42432,0138,43337,60.0,60.0,0.0,0.0,0.0,0,,,,11945
42433,0138,43338,160.0,160.0,0.0,0.0,0.0,0,,,,11945
42434,0138,43339,68.0,68.0,0.0,0.0,0.0,0,,,,11945
42435,0138,43340,300.0,300.0,0.0,0.0,0.0,0,,,,11945
42436,0138,43341,200.0,200.0,0.0,0.0,0.0,0,,,,11945
42437,0138,43342,400.0,400.0,0.0,0.0,0.0,0,,,,11945
