Id,MId,GRRNo,POId,ReceivedQty
33154,9205,0097,43708,100.0
33155,9205,0097,43709,5.0
33156,9205,0097,43710,3.0
33157,9205,0097,43711,5.0
33158,9205,0097,43712,2.0
33159,9205,0097,43713,2.0
33160,9206,0098,43290,2.0
33161,9208,0099,43825,8.0
33162,9208,0099,43826,2.0
33163,9208,0099,43827,1.0
33164,9208,0099,43828,1.0
33165,9208,0099,43829,1.0
33166,9208,0099,43830,1.0
33167,9208,0099,43831,2.0
33168,9208,0099,43832,1.0
33169,9208,0099,43833,2.0
33170,9208,0099,43834,1.0
33171,9208,0099,43835,1.0
33172,9208,0099,43836,2.0
33173,9208,0099,43837,13.0
33174,9208,0099,43838,1.0
33175,9208,0099,43839,1.0
33176,9208,0099,43840,2.0
33177,9209,0100,43399,4.0
33178,9209,0100,43400,20.0
33179,9209,0100,43401,1.0
33180,9210,0101,43821,1.0
33181,9210,0101,43822,1.0
33182,9210,0101,43823,1.0
33183,9211,0102,43824,60.0
33184,9212,0103,43767,1.0
33185,9212,0103,43768,1.0
33186,9212,0103,43769,1.0
33187,9212,0103,43770,1.0
33188,9212,0103,43771,1.0
33189,9212,0103,43772,2.0
33190,9212,0103,43773,1.0
33191,9212,0103,43774,5.0
33192,9212,0103,43775,2.0
33193,9212,0103,43776,2.0
33194,9212,0103,43777,2.0
33195,9212,0103,43778,1.0
33196,9212,0103,43779,2.0
33197,9213,0104,43766,1.0
33198,9214,0105,42953,1.0
33199,9214,0105,42954,5.0
33200,9214,0105,42955,2.0
33201,9214,0105,42956,2.0
33202,9214,0105,42959,2.0
33203,9215,0106,43874,240.0
33204,9216,0107,43745,2.0
33205,9216,0107,43746,2.0
33206,9216,0107,43747,1.0
33207,9216,0107,43748,1.0
33208,9216,0107,43749,1.0
33209,9216,0107,43750,1.0
33210,9216,0107,43751,1.0
33211,9216,0107,43752,2.0
33212,9216,0107,43753,1.0
33213,9217,0108,43721,1.0
33214,9217,0108,43722,1.0
33215,9217,0108,43723,4.0
33216,9217,0108,43724,2.0
33217,9217,0108,43725,1.0
33218,9217,0108,43726,1.0
33219,9217,0108,43727,1.0
33220,9217,0108,43728,1.0
33221,9217,0108,43729,1.0
33222,9217,0108,43730,1.0
33223,9218,0109,43899,1.0
33224,9218,0109,43900,1.0
33225,9218,0109,43901,1.0
33226,9218,0109,43902,1.0
33227,9218,0109,43903,1.0
33228,9218,0109,43904,1.0
33229,9218,0109,43905,1.0
33230,9218,0109,43906,1.0
33231,9218,0109,43907,2.0
33232,9218,0109,43908,1.0
33233,9218,0109,43909,2.0
33234,9218,0109,43910,1.0
33235,9218,0109,43911,1.0
33236,9218,0109,43912,1.0
33237,9218,0109,43913,2.0
33238,9218,0109,43914,1.0
33239,9218,0109,43915,2.0
33240,9218,0109,43916,1.0
33241,9218,0109,43917,1.0
33242,9219,0110,43875,4.0
33243,9219,0110,43876,4.0
33244,9219,0110,43877,4.0
33245,9219,0110,43878,4.0
33246,9219,0110,43879,4.0
33247,9219,0110,43880,2.0
33248,9219,0110,43881,2.0
33249,9219,0110,43882,2.0
33250,9219,0110,43883,4.0
33251,9219,0110,43884,4.0
33252,9219,0110,43885,2.0
33253,9220,0111,43841,1.0
33254,9220,0111,43842,2.0
33255,9220,0111,43843,14.0
33256,9220,0111,43844,4.0
33257,9220,0111,43845,1.0
33258,9220,0111,43846,2.0
33259,9220,0111,43847,2.0
33260,9220,0111,43848,2.0
33261,9220,0111,43849,1.0
33262,9220,0111,43850,2.0
33263,9220,0111,43851,2.0
33264,9220,0111,43852,1.0
33265,9220,0111,43853,5.0
33266,9220,0111,43854,1.0
33267,9220,0111,43855,2.0
33268,9220,0111,43856,2.0
33269,9220,0111,43857,1.0
33270,9221,0112,43858,1.0
33271,9221,0112,43859,1.0
33272,9221,0112,43860,1.0
33273,9221,0112,43861,2.0
33274,9221,0112,43862,1.0
33275,9221,0112,43863,1.0
33276,9221,0112,43864,1.0
33277,9221,0112,43865,2.0
33278,9221,0112,43866,1.0
33279,9221,0112,43867,1.0
33280,9221,0112,43868,1.0
33281,9221,0112,43869,1.0
33282,9221,0112,43870,1.0
33283,9221,0112,43871,1.0
33284,9221,0112,43872,5.0
33285,9221,0112,43873,5.0
33286,9222,0113,43887,1.0
33287,9222,0113,43888,8.0
33288,9222,0113,43889,1.0
33289,9222,0113,43890,1.0
33290,9222,0113,43891,2.0
33291,9222,0113,43892,4.0
33292,9222,0113,43893,1.0
33293,9222,0113,43894,1.0
33294,9222,0113,43895,1.0
33295,9222,0113,43896,2.0
33296,9222,0113,43897,1.0
33297,9222,0113,43898,1.0
33298,9223,0114,43951,6490.0
33299,9223,0114,43952,200.0
33300,9226,0115,43731,1.0
33301,9227,0116,43714,1.0
33302,9227,0116,43715,1.0
33303,9228,0117,43697,1.0
33304,9229,0118,43705,3.0
33305,9229,0118,43706,30.0
33306,9230,0119,43667,1.0
33307,9230,0119,43668,3.0
33308,9230,0119,43669,1.0
33309,9230,0119,43670,1.0
33310,9230,0119,43671,1.0
33311,9231,0120,43672,1.0
33312,9231,0120,43673,1.0
33313,9231,0120,43674,1.0
33314,9231,0120,43675,1.0
33315,9231,0120,43676,2.0
33316,9232,0121,41865,100.0
33317,9233,0122,43953,25.0
33318,9233,0122,43954,5.0
33319,9233,0122,43955,2.0
33320,9234,0123,43949,2.0
33321,9235,0124,43944,48.0
33322,9236,0125,43945,7.0
33323,9236,0125,43946,1.0
33324,9236,0125,43947,5.0
33325,9236,0125,43948,5.0
33326,9237,0126,43940,120.0
33327,9237,0126,43941,120.0
33328,9237,0126,43942,22.0
33329,9237,0126,43943,22.0
33330,9238,0127,42771,1.0
33331,9239,0128,41796,1.0
33332,9239,0128,41797,1.0
33333,9239,0128,41800,2.0
33334,9239,0128,41802,2.0
33335,9239,0128,41827,2.0
33336,9240,0129,41792,2.0
33337,9241,0130,43698,4.0
33338,9241,0130,43699,1.0
33339,9241,0130,43700,10.0
33340,9241,0130,43701,3.0
33341,9241,0130,43702,5.0
33342,9241,0130,43703,5.0
33343,9241,0130,43704,1.0
33344,9242,0131,44060,40.0
33345,9243,0132,43528,1.0
33346,9243,0132,43529,1.0
33347,9243,0132,43530,1.0
33348,9243,0132,43531,1.0
33349,9243,0132,43532,1.0
33350,9243,0132,43533,4.0
33351,9243,0132,43534,16.0
33352,9243,0132,43535,1.0
33353,9243,0132,43536,4.0
33354,9244,0133,44018,2.0
33355,9244,0133,44019,2.0
33356,9244,0133,44020,1.0
33357,9244,0133,44021,2.0
33358,9244,0133,44022,2.0
33359,9245,0134,43989,25.0
33360,9245,0134,43990,25.0
33361,9245,0134,43991,50.0
33362,9246,0135,44003,2.0
33363,9247,0136,44008,2.0
33364,9247,0136,44009,2.0
33365,9248,0137,43999,1.0
33366,9248,0137,44000,1.0
33367,9248,0137,44001,2.0
33368,9248,0137,44002,1.0
33369,9249,0138,44004,1.0
33370,9249,0138,44005,5.0
33371,9249,0138,44006,1.0
33372,9250,0139,44047,1.0
33373,9250,0139,44048,1.0
33374,9250,0139,44049,1.0
33375,9250,0139,44050,2.0
33376,9250,0139,44051,1.0
33377,9250,0139,44052,1.0
33378,9250,0139,44053,4.0
33379,9250,0139,44054,1.0
33380,9251,0140,44045,2.0
33381,9251,0140,44046,1.0
33382,9252,0141,44016,25.0
33383,9252,0141,44017,30.0
33384,9253,0142,43886,25.0
33385,9254,0143,44028,1.0
33386,9254,0143,44029,1.0
33387,9254,0143,44030,1.0
33388,9254,0143,44031,2.0
33389,9254,0143,44032,1.0
33390,9254,0143,44033,1.0
33391,9254,0143,44034,1.0
33392,9254,0143,44035,2.0
33393,9254,0143,44036,1.0
33394,9254,0143,44037,1.0
33395,9254,0143,44038,1.0
33396,9254,0143,44039,1.0
33397,9254,0143,44040,2.0
33398,9254,0143,44041,1.0
33399,9254,0143,44042,1.0
33400,9254,0143,44043,1.0
33401,9254,0143,44044,1.0
33402,9255,0144,44010,8.0
33403,9255,0144,44011,3.0
33404,9256,0145,44061,10.0
33405,9256,0145,44062,10.0
33406,9256,0145,44063,10.0
33407,9256,0145,44064,20.0
33408,9256,0145,44065,20.0
33409,9256,0145,44066,20.0
33410,9256,0145,44067,20.0
33411,9257,0146,38735,3.0
33412,9257,0146,38736,5.0
33413,9258,0147,44125,1.0
33414,9258,0147,44126,2.0
33415,9258,0147,44127,1.0
33416,9259,0148,43814,1.0
33417,9259,0148,43815,2.0
33418,9259,0148,43816,2.0
33419,9259,0148,43817,4.0
33420,9259,0148,43818,8.0
33421,9259,0148,43819,2.0
33422,9259,0148,43820,2.0
33423,9260,0149,44128,1.0
33424,9261,0150,43927,1.0
33425,9262,0151,44111,1.0
33426,9262,0151,44112,1.0
33427,9262,0151,44113,1.0
33428,9262,0151,44114,1.0
33429,9262,0151,44115,1.0
33430,9262,0151,44116,1.0
33431,9262,0151,44117,1.0
33432,9262,0151,44118,1.0
33433,9262,0151,44119,1.0
33434,9262,0151,44120,1.0
33435,9262,0151,44121,1.0
33436,9262,0151,44122,1.0
33437,9262,0151,44123,2.0
33438,9262,0151,44124,1.0
33439,9263,0152,44139,8.0
33440,9263,0152,44140,25.0
33441,9264,0153,44129,1.0
33442,9264,0153,44130,1.0
33443,9264,0153,44131,1.0
33444,9264,0153,44132,1.0
33445,9264,0153,44133,1.0
33446,9264,0153,44134,2.0
33447,9264,0153,44135,2.0
33448,9264,0153,44136,1.0
33449,9265,0154,44137,1.0
33450,9265,0154,44138,1.0
33451,9266,0155,44100,1.0
33452,9266,0155,44101,1.0
33453,9266,0155,44102,1.0
33454,9266,0155,44103,2.0
33455,9266,0155,44104,1.0
33456,9266,0155,44105,1.0
33457,9266,0155,44106,1.0
33458,9266,0155,44107,1.0
33459,9266,0155,44108,1.0
33460,9266,0155,44109,3.0
33461,9266,0155,44110,3.0
33462,9267,0156,44076,1.0
33463,9267,0156,44077,1.0
33464,9267,0156,44078,1.0
33465,9267,0156,44079,1.0
33466,9267,0156,44080,1.0
33467,9267,0156,44081,1.0
33468,9267,0156,44082,2.0
33469,9267,0156,44083,1.0
33470,9267,0156,44084,1.0
33471,9267,0156,44085,1.0
33472,9267,0156,44086,2.0
33473,9268,0157,44087,2.0
33474,9268,0157,44088,2.0
33475,9268,0157,44089,2.0
33476,9268,0157,44090,12.0
33477,9268,0157,44091,2.0
33478,9268,0157,44092,1.0
33479,9268,0157,44093,2.0
33480,9268,0157,44094,2.0
33481,9268,0157,44095,10.0
33482,9268,0157,44096,2.0
33483,9268,0157,44097,1.0
33484,9268,0157,44098,1.0
33485,9268,0157,44099,1.0
33486,9269,0158,44068,2.0
33487,9269,0158,44069,2.0
33488,9269,0158,44070,1.0
33489,9269,0158,44071,5.0
33490,9269,0158,44072,2.0
33491,9269,0158,44073,1.0
33492,9269,0158,44074,2.0
33493,9269,0158,44075,1.0
33494,9270,0159,44167,1.0
33495,9270,0159,44168,1.0
33496,9271,0160,44142,1.0
33497,9271,0160,44143,1.0
33498,9271,0160,44144,3.0
33499,9271,0160,44145,2.0
33500,9272,0161,42188,2.0
33501,9272,0161,42189,2.0
33502,9273,0162,43977,4.0
33503,9273,0162,43978,1.0
33504,9273,0162,43979,1.0
33505,9273,0162,43980,1.0
33506,9274,0163,44177,2.0
33507,9274,0163,44178,1.0
33508,9274,0163,44179,1.0
33509,9274,0163,44180,1.0
33510,9274,0163,44181,2.0
33511,9274,0163,44182,2.0
33512,9274,0163,44183,1.0
33513,9275,0164,38736,13.0
33514,9276,0165,44169,1.0
33515,9276,0165,44170,1.0
33516,9276,0165,44171,2.0
33517,9276,0165,44172,2.0
33518,9277,0166,44218,4.0
33519,9278,0167,44184,2.0
33520,9278,0167,44185,1.0
33521,9278,0167,44186,1.0
33522,9278,0167,44187,1.0
33523,9278,0167,44188,1.0
33524,9278,0167,44189,1.0
33525,9278,0167,44190,2.0
33526,9278,0167,44191,1.0
33527,9278,0167,44192,1.0
33528,9278,0167,44193,1.0
33529,9279,0168,44007,42.0
33530,9280,0169,44012,2.0
33531,9280,0169,44013,1.0
33532,9280,0169,44014,1.0
33533,9280,0169,44015,2.0
33535,9281,0170,44200,1.0
33536,9282,0171,43734,6.0
33537,9282,0171,43735,3.0
33538,9283,0172,38736,2.0
33539,9284,0173,43736,1.0
33540,9284,0173,43737,4.0
33541,9284,0173,43738,7.0
33542,9284,0173,43739,22.0
33543,9284,0173,43740,22.0
33544,9284,0173,43741,11.0
33545,9284,0173,43742,6.0
33546,9284,0173,43743,70.0
33547,9284,0173,43744,3.0
33548,9285,0174,44270,1.0
33549,9286,0175,44023,1.0
33550,9286,0175,44024,1.0
33551,9286,0175,44025,1.0
33552,9286,0175,44026,5.0
33553,9286,0175,44027,6.0
33554,9287,0176,44273,10.0
33555,9288,0177,44253,20.0
33556,9288,0177,44254,50.0
33557,9288,0177,44255,90.0
33558,9288,0177,44256,60.0
33559,9289,0178,44201,1.0
33560,9289,0178,44202,1.0
33561,9289,0178,44203,1.0
33562,9289,0178,44204,1.0
33563,9289,0178,44205,2.0
33564,9289,0178,44206,1.0
