Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
47369,1201,14419,54550,4.0,4.0,0,0
47370,1201,14419,54553,4.0,4.0,0,0
47371,1201,14419,54559,2.0,2.0,0,0
47372,1201,14419,54562,1.0,1.0,0,0
47373,1201,14419,54563,1.0,1.0,0,0
47374,1201,14419,54564,1.0,1.0,0,0
47375,1201,14419,54567,1.0,1.0,0,0
47376,1201,14419,54570,1.0,1.0,0,0
47377,1201,14419,54571,1.0,1.0,0,0
47378,1201,14419,54572,1.0,1.0,0,0
47379,1202,14420,54591,1.0,1.0,0,0
47380,1202,14420,54592,1.0,1.0,0,0
47381,1202,14420,54593,1.0,1.0,0,0
47382,1202,14420,54594,1.0,1.0,0,0
47383,1202,14420,54595,1.0,1.0,0,0
47384,1202,14420,54598,1.0,1.0,0,0
47385,1202,14420,54599,1.0,1.0,0,0
47386,1203,14421,54514,4.0,4.0,0,0
47387,1203,14421,54519,2.0,2.0,0,0
47388,1204,14422,54603,1.0,1.0,0,0
47389,1204,14422,54604,1.0,1.0,0,0
47390,1204,14422,54606,1.0,1.0,0,0
47391,1204,14422,54607,2.0,2.0,0,0
47392,1204,14422,54615,1.0,1.0,0,0
47393,1205,14423,54801,2.0,2.0,0,0
47394,1206,14424,55310,2.0,2.0,0,0
47395,1207,14425,55405,1.0,1.0,0,0
47396,1208,14426,55488,4.0,4.0,0,0
47397,1209,14427,54812,40.0,40.0,0,0
47398,1210,14428,54575,2.0,2.0,0,0
47399,1210,14428,54576,2.0,2.0,0,0
47400,1210,14428,54577,2.0,2.0,0,0
47401,1210,14428,54578,1.0,1.0,0,0
47402,1210,14428,54579,1.0,1.0,0,0
47403,1211,14429,54580,1.0,1.0,0,0
47404,1212,14430,54560,1.0,1.0,0,0
47405,1212,14430,54561,1.0,1.0,0,0
47406,1212,14430,54568,1.0,1.0,0,0
47407,1212,14430,54569,1.0,1.0,0,0
47408,1213,14431,54515,1.0,1.0,0,0
47409,1213,14431,54516,1.0,1.0,0,0
47410,1214,14432,55740,24.0,24.0,0,0
47411,1214,14432,55741,12.0,12.0,0,0
47412,1215,14433,55730,1.0,1.0,0,0
47413,1216,14434,55802,2.0,2.0,0,0
47414,1216,14434,55803,1.0,1.0,0,0
47415,1216,14434,55804,4.0,4.0,0,0
47416,1216,14434,55805,2.0,2.0,0,0
47417,1216,14434,55806,2.0,2.0,0,0
47418,1216,14434,55807,2.0,2.0,0,0
47419,1216,14434,55808,12.0,12.0,0,0
47420,1216,14434,55809,12.0,12.0,0,0
47421,1216,14434,55810,12.0,12.0,0,0
47422,1216,14434,55811,4.0,4.0,0,0
47423,1216,14434,55812,4.0,4.0,0,0
47424,1217,14435,54446,1.0,1.0,0,0
47425,1217,14435,54447,1.0,1.0,0,0
47426,1217,14435,54451,2.0,2.0,0,0
47427,1217,14435,54453,2.0,2.0,0,0
47428,1218,14436,54510,4.0,4.0,0,0
47429,1218,14436,54511,2.0,2.0,0,0
47430,1218,14436,54512,2.0,2.0,0,0
47431,1218,14436,54517,2.0,2.0,0,0
47432,1218,14436,54518,2.0,2.0,0,0
47433,1219,14437,54546,2.0,2.0,0,0
47434,1219,14437,54547,1.0,1.0,0,0
