id,ItemCode,Rate,Discount
38343,6791 017 00 0 0 021 0 0,6,0
38344,6791 017 00 0 0 021 0 0,5,0
38345,6791 017 00 0 0 021 0 0,5.00,0
38346,6791 017 00 0 0 022 0 0,6,0
38347,6791 017 00 0 0 022 0 0,5,0
38348,6791 017 00 0 0 022 0 0,5.00,0
38349,6791 017 00 0 0 023 0 0,6,0
38350,6791 017 00 0 0 023 0 0,5,0
38351,6791 017 00 0 0 023 0 0,5.00,0
38352,6791 017 00 0 0 024 0 0,6,0
38353,6791 017 00 0 0 024 0 0,5,0
38354,6791 017 00 0 0 024 0 0,5.00,0
38355,6791 017 00 0 0 025 0 0,6,0
38356,6791 017 00 0 0 025 0 0,5,0
38357,6791 017 00 0 0 025 0 0,5.00,0
38358,6791 017 00 0 0 026 0 0,6,0
38359,6791 017 00 0 0 026 0 0,5,0
38360,6791 017 00 0 0 026 0 0,5.00,0
38361,6791 017 00 0 0 027 0 0,6,0
38362,6791 017 00 0 0 027 0 0,5,0
38363,6791 017 00 0 0 027 0 0,5.00,0
38364,6791 017 00 0 0 028 0 0,6,0
38365,6791 017 00 0 0 028 0 0,5,0
38366,6791 017 00 0 0 028 0 0,5.00,0
38367,6791 017 00 0 0 029 0 0,6,0
38368,6791 017 00 0 0 029 0 0,5,0
38369,6791 017 00 0 0 029 0 0,5.00,0
38370,6791 017 00 0 0 030 0 0,6,0
38371,6791 017 00 0 0 030 0 0,5,0
38372,6791 017 00 0 0 030 0 0,5.00,0
38373,6791 017 00 0 0 031 0 0,6,0
38374,6791 017 00 0 0 031 0 0,5,0
38375,6791 017 00 0 0 031 0 0,5.00,0
38376,6791 017 00 0 0 032 0 0,6,0
38377,6791 017 00 0 0 032 0 0,5,0
38378,6791 017 00 0 0 032 0 0,5.00,0
38379,6791 017 00 0 0 033 0 0,6,0
38380,6791 017 00 0 0 033 0 0,5,0
38381,6791 017 00 0 0 033 0 0,5.00,0
38382,6791 017 00 0 0 034 0 0,6,0
38383,6791 017 00 0 0 034 0 0,5,0
38384,6791 017 00 0 0 034 0 0,5.00,0
38385,6791 017 00 0 0 035 0 0,6,0
38386,6791 017 00 0 0 035 0 0,5,0
38387,6791 017 00 0 0 035 0 0,5.00,0
38388,6791 017 00 0 0 036 0 0,6,0
38389,6791 017 00 0 0 036 0 0,5,0
38390,6791 017 00 0 0 036 0 0,5.00,0
38391,6791 017 00 0 0 037 0 0,6,0
38392,6791 017 00 0 0 037 0 0,5,0
38393,6791 017 00 0 0 037 0 0,5.00,0
38394,6791 017 00 0 0 038 0 0,6,0
38395,6791 017 00 0 0 038 0 0,5,0
38396,6791 017 00 0 0 038 0 0,5.00,0
38397,6791 017 00 0 0 039 0 0,6,0
38398,6791 017 00 0 0 039 0 0,5,0
38399,6791 017 00 0 0 040 0 0,6,0
38400,6791 017 00 0 0 040 0 0,5,0
38401,6791 017 00 0 0 041 0 0,6,0
38402,6791 017 00 0 0 041 0 0,5,0
38403,6791 017 00 0 0 042 0 0,6,0
38404,6791 017 00 0 0 042 0 0,5,0
38405,6791 017 00 0 0 043 0 0,6,0
38406,6791 017 00 0 0 043 0 0,5,0
38407,6791 017 00 0 0 044 0 0,6,0
38408,6791 017 00 0 0 044 0 0,5,0
38409,6791 017 00 0 0 045 0 0,6,0
38410,6791 017 00 0 0 045 0 0,5,0
38411,6791 017 00 0 0 046 0 0,6,0
38412,6791 017 00 0 0 046 0 0,5,0
38413,6791 017 00 0 0 047 0 0,6,0
38414,6791 017 00 0 0 047 0 0,5,0
38415,6791 017 00 0 0 048 0 0,6,0
38416,6791 017 00 0 0 048 0 0,5,0
38417,6791 017 00 0 0 049 0 0,6,0
38418,6791 017 00 0 0 049 0 0,5,0
38419,6791 017 00 0 0 050 0 0,6,0
38420,6791 017 00 0 0 050 0 0,5,0
38421,6791 017 00 0 0 051 0 0,6,0
38422,6791 017 00 0 0 052 0 0,6,0
38423,6791 017 00 0 0 053 0 0,6,0
38424,6791 017 00 0 0 054 0 0,6,0
38425,6791 017 00 0 0 055 0 0,6,0
38426,6791 017 00 0 0 056 0 0,6,0
38427,6791 017 00 0 0 057 0 0,6,0
38428,6791 017 00 0 0 058 0 0,6,0
38429,6791 017 00 0 0 059 0 0,6,0
38430,6791 017 00 0 0 060 0 0,6,0
38431,6791 017 00 0 0 061 0 0,6,0
38432,6791 017 00 0 0 062 0 0,6,0
38433,6791 017 00 0 0 063 0 0,6,0
38434,6791 017 00 0 0 064 0 0,6,0
38435,6791 017 00 0 0 065 0 0,6,0
38436,6791 017 00 0 0 066 0 0,6,0
38437,6791 017 00 0 0 067 0 0,6,0
38438,6791 017 00 0 0 068 0 0,6,0
38439,6791 017 00 0 0 069 0 0,6,0
38440,6791 017 00 0 0 070 0 0,6,0
38441,6791 017 00 0 0 071 0 0,6,0
38442,6791 017 00 0 0 072 0 0,6,0
38443,6791 017 00 0 0 073 0 0,6,0
38444,6791 017 00 0 0 074 0 0,6,0
38445,6791 017 00 0 0 075 0 0,6,0
38446,6791 017 00 0 0 076 0 0,6,0
38447,6791 017 00 0 0 077 0 0,6,0
38448,6791 017 00 0 0 078 0 0,6,0
38449,6791 017 00 0 0 079 0 0,6,0
38450,6791 017 00 0 0 080 0 0,6,0
38451,6791 017 00 0 0 081 0 0,6,0
38452,6791 017 00 0 0 082 0 0,6,0
38453,6791 017 00 0 0 083 0 0,6,0
38454,6791 017 00 0 0 084 0 0,6,0
38455,6791 017 00 0 0 085 0 0,6,0
38456,6791 017 00 0 0 086 0 0,6,0
38457,6791 017 00 0 0 087 0 0,6,0
38458,6791 017 00 0 0 088 0 0,6,0
38459,6791 017 00 0 0 089 0 0,6,0
38460,6791 017 00 0 0 090 0 0,6,0
38461,6791 017 00 0 0 091 0 0,6,0
38462,6791 017 00 0 0 092 0 0,6,0
38463,6791 017 03 0 0 001 0 0,16,0
38464,6791 017 03 0 0 001 0 0,11,0
38465,6791 017 03 0 0 001 0 0,11.00,0
38466,6791 017 05 0 0 001 0 0,5.00,0
38467,6791 017 05 0 0 002 0 0,5.00,0
38468,6791 017 05 0 0 003 0 0,5.00,0
38469,6791 017 05 0 0 004 0 0,5.00,0
38470,6791 017 05 0 0 005 0 0,5.00,0
38471,6791 017 05 0 0 006 0 0,5.00,0
38472,6791 017 05 0 0 007 0 0,5.00,0
38473,6791 017 05 0 0 008 0 0,5.00,0
38474,6791 017 05 0 0 009 0 0,5.00,0
38475,6791 017 05 0 0 010 0 0,5.00,0
38476,6791 017 05 0 0 011 0 0,5.00,0
38477,6791 017 05 0 0 012 0 0,5.00,0
38478,6791 017 05 0 0 013 0 0,5.00,0
38479,6791 017 05 0 0 014 0 0,5.00,0
38480,6791 017 05 0 0 015 0 0,5.00,0
38481,6791 017 05 0 0 016 0 0,5.00,0
38482,6791 018 00 0 0 001 0 0,8,0
38483,6791 020 00 0 0 006 0 0,190,0
38484,6791 021 00 0 0 001 0 0,450,0
38485,6791 021 00 0 0 001 0 0,400,0
38486,6791 021 00 0 0 003 0 0,0,0
38487,6791 021 00 0 0 003 0 0,100,0
38488,6791 021 00 0 0 004 0 0,500.00,0
38489,6791 021 00 0 0 004 0 0,208,0
38490,6791 021 00 0 0 004 0 0,208,10
38491,6791 021 00 0 0 004 0 0,187.20,0
38492,6791 021 00 0 0 004 0 0,500,0
38493,6791 021 00 0 0 005 0 0,656,15
38494,6791 021 00 0 0 005 0 0,173.50,0
38495,6791 021 00 0 0 005 0 0,656,10
38496,6791 021 00 0 0 005 0 0,208,15
38497,6791 021 00 0 0 005 0 0,200,0
38498,6791 021 00 0 0 006 0 0,398,15
38499,6791 021 00 0 0 006 0 0,338,0
38500,6791 021 00 0 0 007 0 0,0,0
38501,6791 021 00 0 0 007 0 0,144,15
38502,6791 021 00 0 0 007 0 0,144,0
38503,6791 021 00 0 0 008 0 0,210,0
38504,6791 021 00 0 0 008 0 0,0,0
38505,6791 021 00 0 0 008 0 0,243,15
38506,6791 021 00 0 0 008 0 0,243,0
38507,6791 021 00 0 0 008 0 0,206.55,0
38508,6791 021 00 0 0 008 0 0,226,15
38509,6791 021 00 0 0 009 0 0,304,15
38510,6791 021 00 0 0 009 0 0,140,15
38511,6791 021 00 0 0 009 0 0,0,0
38512,6791 021 00 0 0 009 0 0,314,15
