Id,PODId,GQNId,GSNId,ItemId,DebitType,DebitValue,PFAmt,ExStBasicInPer,ExStEducessInPer,ExStShecessInPer,ExStBasic,ExStEducess,ExStShecess,CustomDuty,VAT,CST,Freight,TarrifNo,BCDOpt,BCD,BCDValue,ValueForCVD,ValueForEdCessCD,EdCessOnCDOpt,EdCessOnCD,EdCessOnCDValue,SHEDCessOpt,SHEDCess,SHEDCessValue,TotDuty,TotDutyEDSHED,Insurance,ValueWithDuty,MId
32447,43380,32670,0,58952,0,0.0,0.0,9.0,0.0,0.0,0.36,0.0,0.0,0.0,0.39,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32448,43346,32643,0,7214,0,0.0,0.0,9.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32449,43347,32644,0,7216,0,0.0,0.0,9.0,0.0,0.0,18.87,0.0,0.0,0.0,20.57,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32450,43348,32645,0,7217,0,0.0,0.0,9.0,0.0,0.0,17.55,0.0,0.0,0.0,19.13,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32451,43349,32646,0,7218,0,0.0,0.0,9.0,0.0,0.0,24.3,0.0,0.0,0.0,26.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32452,43350,32647,0,7259,0,0.0,0.0,9.0,0.0,0.0,4.02,0.0,0.0,0.0,4.38,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32453,43351,32648,0,7263,0,0.0,0.0,9.0,0.0,0.0,21.57,0.0,0.0,0.0,23.51,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32454,43352,32649,0,7268,0,0.0,0.0,9.0,0.0,0.0,11.66,0.0,0.0,0.0,12.71,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32455,43353,32650,0,7269,0,0.0,0.0,9.0,0.0,0.0,19.44,0.0,0.0,0.0,21.19,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8076
32458,43345,32642,0,59355,0,0.0,0.0,9.0,0.0,0.0,207.0,0.0,0.0,0.0,225.63,0.0,0.0,8466,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8078
