CityId,CityName,SId
643,Rampur,34
644,Saharanpur,34
645,Sant Kabir Nagar,34
646,Sant Ravidas Nagar (Bhadohi),34
647,Shahjahanpur,34
648,Shrawasti,34
649,Siddharthnagar,34
650,Sitapur,34
651,Sonbhadra,34
652,Sultanpur,34
653,Unnao,34
654,Varanasi,34
655,Bankura,35
656,Barddhaman,35
657,Birbhum,35
658,Dakshin Dinajpur,35
659,Darjiling,35
660,Haora,35
661,Hugli,35
662,Jalpaiguri,35
663,Koch Bihar,35
664,Kolkata City Map,35
665,Maldah,35
666,Medinipur,35
667,Murshidabad,35
668,Nadia,35
669,North24-parganas,35
670,Puruliya,35
671,South24-Parganas,35
672,Uttar Dinajpur,35
673,Jamshedpur,16
674,Venice,39
675,Rome,37
676,Laquila,36
677,Milan,38
678,Turin,41
679,Pantnagar,34
680,Hosur,31
681,Sanand,12
682,Noida,33
683,Naka koma - Gun,42
685,Düsseldorf,44
686,Jiading,45
687,MARAIMALAINAGAR,31
688,ORAGADAM,31
689,Pithampur,20
690,Chakan,21
691,Medak,46
692,Zaheerabad,46
693,Torino,41
694,Monza and Brianza,38
695,Gaziabad,33
696,Lucknow,33
697,Saharanpur,33
698,Fellbach,47
699,Sant Fruitós de Bages,48
