Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
229,1,4,N0113,2016-09-03,3:12:07 PM,Sapl0002
230,1,4,T0024,2016-09-03,3:19:24 PM,Sapl0002
231,1,4,N0138,2016-09-03,3:23:07 PM,Sapl0002
232,1,4,N0138,2016-09-03,3:23:52 PM,Sapl0002
233,1,4,N0132,2016-09-03,3:24:28 PM,Sapl0002
234,1,4,N0134,2016-09-03,3:25:08 PM,Sapl0002
235,1,4,N0113,2016-09-03,3:37:46 PM,Sapl0001
236,1,4,N0113,2016-09-03,3:54:58 PM,Sapl0053
237,1,4,N0115,2016-09-03,3:55:06 PM,Sapl0053
238,1,4,N0051,2016-09-06,10:32:04 AM,Sapl0002
239,1,4,T0023,2016-09-06,10:34:17 AM,Sapl0002
240,1,4,N0113,2016-09-06,10:37:19 AM,Sapl0002
241,1,4,N0115,2016-09-06,10:37:29 AM,Sapl0002
242,1,4,T0024,2016-09-06,10:39:34 AM,Sapl0002
243,1,4,T0025,2016-09-06,10:39:41 AM,Sapl0002
244,1,4,N0104,2016-09-06,10:41:14 AM,Sapl0002
245,1,4,N0105,2016-09-06,10:41:29 AM,Sapl0002
246,1,4,N0125,2016-09-06,10:41:45 AM,Sapl0002
247,1,4,N0127,2016-09-06,10:42:04 AM,Sapl0002
248,1,4,N0128,2016-09-06,10:42:16 AM,Sapl0002
249,1,4,N0129,2016-09-06,10:42:34 AM,Sapl0002
250,1,4,N0132,2016-09-06,10:43:12 AM,Sapl0002
251,1,4,N0134,2016-09-06,10:43:38 AM,Sapl0002
252,1,4,N0135,2016-09-06,10:43:58 AM,Sapl0002
253,1,4,N0136,2016-09-06,10:44:24 AM,Sapl0002
254,1,4,N0137,2016-09-06,10:44:38 AM,Sapl0002
255,1,4,N0138,2016-09-06,10:45:11 AM,Sapl0002
256,1,4,T0024,2016-09-08,12:46:49 PM,Sapl0005
257,1,4,N0139,2016-09-14,11:21:18 AM,Sapl0005
258,1,4,N0140,2016-09-24,8:48:36 AM,Sapl0053
259,1,4,N0141,2016-09-24,8:48:41 AM,Sapl0053
260,1,4,S0138,2016-09-30,2:34:38 PM,Sapl0005
261,1,4,N0142,2016-10-14,3:57:22 PM,Sapl0002
262,1,4,N0136,2016-11-09,3:29:39 PM,Sapl0053
263,1,4,N0136,2016-11-09,3:33:23 PM,Sapl0053
264,1,4,N0137,2016-11-09,3:33:26 PM,Sapl0053
265,1,4,N0138,2016-11-09,3:33:28 PM,Sapl0053
266,1,4,N0139,2016-11-09,3:33:36 PM,Sapl0053
267,1,4,N0145,2016-12-01,1:12:44 PM,Sapl0053
268,1,4,N0149,2016-12-02,2:06:40 PM,Sapl0005
269,1,4,N0150,2017-01-06,10:52:37 AM,Sapl0005
270,1,4,N0151,2017-01-25,10:13:05 AM,Sapl0005
271,1,4,N0146,2017-02-15,3:33:00 PM,Sapl0005
272,1,4,N0146,2017-02-15,4:21:08 PM,Sapl0005
273,1,4,N0148,2017-03-02,12:06:37 PM,Sapl0005
274,1,4,J0089,2017-03-03,12:28:26 PM,Sapl0053
275,1,4,N0159,2017-03-09,2:53:55 PM,Sapl0005
276,1,4,N0154,2017-03-31,1:07:45 PM,Sapl0053
277,1,5,N0157,2017-05-06,1:14:26 PM,Sapl0005
278,1,5,N0158,2017-05-06,1:14:41 PM,Sapl0005
279,1,5,N0161,2017-05-06,1:16:47 PM,Sapl0005
280,1,5,N0155,2017-05-12,10:13:00 AM,Sapl0005
281,1,5,N0156,2017-05-12,10:13:07 AM,Sapl0005
282,1,5,N0160,2017-05-12,10:13:22 AM,Sapl0005
283,1,5,N0162,2017-05-12,10:13:31 AM,Sapl0005
284,1,5,E0026,2017-05-16,12:25:41 PM,Sapl0001
285,1,5,J0097,2017-05-20,10:27:05 AM,Sapl0005
286,1,5,N0164,2017-06-02,2:31:32 PM,Sapl0005
287,1,5,S0156,2017-07-14,3:55:47 PM,Sapl0005
288,1,5,N0168,2017-07-20,2:12:57 PM,Sapl0005
289,1,5,N0163,2017-07-20,2:27:24 PM,Sapl0005
290,1,5,N0166,2017-07-20,2:29:17 PM,Sapl0005
291,1,5,N0163,2017-09-01,10:08:36 AM,Sapl0053
292,1,5,N0169,2017-09-01,10:21:03 AM,Sapl0005
293,1,5,N0170,2017-09-01,10:21:24 AM,Sapl0005
294,1,5,N0173,2017-10-26,11:39:35 AM,Sapl0005
