No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
4362,2819,00890-03-14,ROD DAI 25*598 (EN 36) HRC 35-40,,28,1.0,28.0,NOS
4363,2819,00890-09-05,ROD CHUCK (OHNS) HRC 40-45,,8,1.0,8.0,NOS
4364,2821,,PLATE 220 X 220 ,0,4,1.0,4.0,NOS
4365,2822,,SHAFT & L-BKT,0,52,1.0,52.0,NOS
4366,2823,,BEARING PIN DAI 25,0,15,1.0,15.0,KGS
4367,2824,,CABEL TRAY 100*50 (3MTR),0,7,1.0,7.0,NOS
4368,2824,,CABLE TRAY 50*50 (1MTR),,6,1.0,6.0,NOS
4369,2824,,CABLE TRAY STAND,,30,1.0,30.0,NOS
4370,2824,,INDO CONNECTOR (48 PIN),,2,1.0,2.0,NOS
4371,2824,,CABLE 7 CORE 0.5 SQMM POLICAB MAKE ,,100,1.0,100.0,MTR
4372,2824,,DEVOICE NET CABLE,,55,1.0,55.0,MTR
4373,2824,,CABLE 3CORE 0.5 SQMM POLYCAB MAKE,,60,1.0,60.0,MTR
4374,2824,,CABLE 1 CORE 0.5 SQMM POLYCAB MAKE,,800,1.0,800.0,MTR
4375,2824,, CABLE 1 CORE 4 SQMM POLYCAB ERTHING CABLE,,100,1.0,100.0,MTR
4376,2824,,0.5MM LUG,,700,1.0,700.0,NOS
4377,2824,,FERUL ,,1000,1.0,1000.0,NOS
4378,2824,,2.5 MM TERMINAL,,100,1.0,100.0,NOS
4379,2824,,25 MM CONDUT PIPE,,40,1.0,40.0,MTR
4380,2824,,SOLONUT VOLVE,,2,1.0,2.0,NOS
4381,2824,,MIMIK STAND,,2,1.0,2.0,NOS
4382,2824,,PENDUNT STAND,,2,1.0,2.0,NOS
4384,2824,,FENSING,,1,1.0,1.0,NOS
4385,2824,,FENSING STAND,,1,1.0,1.0,NOS
4386,2824,,Y CONNECTOR,,6,1.0,6.0,NOS
4387,2824,,T CONNECTOR,,3,1.0,3.0,NOS
4388,2824,,FASTNER 12*150,,20,1.0,20.0,NOS
4389,2824,,FILTER & REGULATOR -1/2  FRC156334 + A2G02-A2C03WITH CLAMP & GAUGE,,2,1.0,2.0,NOS
4390,2824,,FEVI KWIK (5 RS),,3,1.0,3.0,NOS
4391,2824,,SPATTER PROOF TUBE OD 8,,10,1.0,10.0,MTR
4392,2825,,BEARING PIN DAI 25 ,0,28,1.0,28.0,NOS
4393,2825,,TROLLY,,56,1.0,56.0,NOS
4394,2826,00895-06-62,,0,1,1.0,1.0,NOS
4395,2826,00895-05-62,,,1,1.0,1.0,NOS
4396,2826,00894-07-36,,,1,1.0,1.0,NOS
4397,2826,00894-08-36,,,1,1.0,1.0,NOS
4398,2826,00895-05-41,,,1,1.0,1.0,NOS
4399,2826,00895-06-41,,,1,1.0,1.0,NOS
4400,2826,00895-14-61,,,1,1.0,1.0,NOS
4401,2826,00895-13-61,,,1,1.0,1.0,NOS
4402,2826,00894-09-48,,,2,1.0,2.0,NOS
4403,2826,00894-05-41,,,2,1.0,2.0,NOS
4404,2826,00894-05-36,,,2,1.0,2.0,NOS
4405,2826,00895-11-42,,,1,1.0,1.0,NOS
4406,2826,00895-12-42,,,1,1.0,1.0,NOS
4407,2826,00894-09-41,,,2,1.0,2.0,NOS
4408,2826,00894-09-42,,,2,1.0,2.0,NOS
4409,2826,00895-12-38,,,2,1.0,2.0,NOS
4410,2826,00895-07-41,,,2,1.0,2.0,NOS
4411,2826,00894-06-42,,,1,1.0,1.0,NOS
4412,2826,00894-05-42,,,1,1.0,1.0,NOS
4413,2826,00895-12-37,,,1,1.0,1.0,NOS
4414,2826,00895-13-42,,,2,1.0,2.0,NOS
4415,2826,00895-13-41,,,2,1.0,2.0,NOS
4416,2826,00895-13-37,,,2,1.0,2.0,NOS
4417,2826,00895-13-36,,,1,1.0,1.0,NOS
4418,2826,00895-14-36,,,1,1.0,1.0,NOS
4419,2826,00895-16-38,,,1,1.0,1.0,NOS
4420,2826,00895-15-36,,,1,1.0,1.0,NOS
4421,2826,00895-12-43,,,1,1.0,1.0,NOS
4422,2826,00895-12-41,,,1,1.0,1.0,NOS
4423,2826,00895-11-43,,,1,1.0,1.0,NOS
4424,2826,00895-11-41,,,1,1.0,1.0,NOS
4425,2826,00895-11-36,,,1,1.0,1.0,NOS
4426,2826,00895-12-36,,,1,1.0,1.0,NOS
4427,2826,00895-12-38,,,1,1.0,1.0,NOS
4428,2826,00895-11-38,,,1,1.0,1.0,NOS
4429,2826,00895-11-39,,,1,1.0,1.0,NOS
4430,2826,00895-12-39,,,1,1.0,1.0,NOS
4431,2826,00895-12-37,,,1,1.0,1.0,NOS
4432,2826,00895-11-37,,,1,1.0,1.0,NOS
4433,2826,00895-12-72,,,1,1.0,1.0,NOS
4434,2826,00895-11-72,,,1,1.0,1.0,NOS
4435,2826,00895-07-41,,,1,1.0,1.0,NOS
4436,2826,00895-08-41,,,1,1.0,1.0,NOS
4437,2826,00894-06-42,,,1,1.0,1.0,NOS
4438,2826,00894-05-42,,,1,1.0,1.0,NOS
4439,2827,,Z PLATE ,0,110,1.0,110.0,NOS
4440,2827,,SHOLDER WASHER,,175,1.0,175.0,NOS
4441,2827,,BEARING PIN DAI 25,,37,1.0,37.0,NOS
4442,2827,,SQ.NUT,,81,1.0,81.0,NOS
4443,2828,00890-37-17,PLATE,0,2,1.0,2.0,NOS
4444,2829,00890-11-25,RECT PLATE,0,4,1.0,4.0,NOS
4445,2829,20-C-033,PLATE,,4,1.0,4.0,NOS
4446,2829,00890-37-06,PLATE,,2,1.0,2.0,NOS
4447,2829,00890-23-26,PLATE,,2,1.0,2.0,NOS
4448,2830,,PINION SMALL,0,8,1.0,8.0,NOS
4449,2830,,PINION BIG,,4,1.0,4.0,NOS
4450,2831,58-55-02,L PLATE,0,4,1.0,4.0,NOS
4451,2831,58-60-A-22,BACK PLATE,,2,1.0,2.0,NOS
4452,2831,00890-23-06,DRUM LIFT PLATE,,2,1.0,2.0,NOS
4453,2831,00890-03-05,DRUM LIFT PLATE,,12,1.0,12.0,NOS
4454,2831,00890-03-04,DRUM LIFT PLATE,,22,1.0,22.0,NOS
4455,2831,,SMALL ROUND SPROCKET,,16,1.0,16.0,NOS
4456,2831,,SMALL PINION,,16,1.0,16.0,NOS
4457,2831,,RACK,,8,1.0,8.0,NOS
4458,2831,,L-MYLER,,2,1.0,2.0,NOS
4459,2831,,PIN,,12,1.0,12.0,NOS
4460,2832,,BEARING PIN DAI 25,0,106,1.0,106.0,NOS
4461,2833,K099-001-003,PIVOT PIN,0,11,1.0,11.0,NOS
4463,2833,20-A-17,PHOSPHOR BRONZE,,16,1.0,16.0,NOS
4464,2833,00893-02-13,ROLLER PIN,,2,1.0,2.0,NOS
4465,2834,,SPS D-13 UPTO (BLUE),0,10,1.0,10.0,NOS
4466,2834,,SPS 1/4 WLC 1HP,,5,1.0,5.0,NOS
4467,2834,,SPS 1/4 WLC UPTO,,5,1.0,5.0,NOS
4468,2834,,TP-07 UPTO,,10,1.0,10.0,NOS
4469,2835,,TOOL TROLLY,0,43,1.0,43.0,NOS
4470,2835,,CROSS TROLLY,,11,1.0,11.0,NOS
4471,2836,,SPS D-17 UPTO,0,10,1.0,10.0,NOS
4472,2836,,GSM 37,,10,1.0,10.0,NOS
4473,2837,,PINION RACK,0,4,1.0,4.0,NOS
4474,2838,00895-03-11,ROUND PIN,0,2,1.0,2.0,NOS
4475,2838,,PIN,,5,1.0,5.0,NOS
4476,2838,,BUSH,,2,1.0,2.0,NOS
4477,2839,00895-03-11,PIN ,0,2,1.0,2.0,NOS
