Id,SysDate,SysTime,CompId,FinYearId,SessionId,EmpId,BillMonth,BillAmt,Taxes
145,2013-12-03,4:41:39 PM,1,1,sapl0173,Sapl0061,11.0,403.26,6.0
146,2013-12-03,4:43:19 PM,1,1,sapl0173,Sapl0057,11.0,568.09,6.0
147,2013-12-03,4:48:55 PM,1,1,Sapl0173,Sapl0047,11.0,140.79,6.0
148,2013-12-03,4:50:50 PM,1,1,Sapl0173,Sapl0055,11.0,289.08,6.0
149,2013-12-03,4:52:25 PM,1,1,Sapl0173,Sapl0050,11.0,142.14,6.0
150,2013-12-03,4:53:52 PM,1,1,Sapl0173,Sapl0020,11.0,1238.21,6.0
151,2013-12-03,4:55:54 PM,1,1,Sapl0173,Sapl0011,11.0,694.27,6.0
152,2013-12-03,5:04:00 PM,1,1,Sapl0173,Sapl0012,11.0,353.15,6.0
153,2013-12-03,5:05:36 PM,1,1,Sapl0173,Sapl0015,11.0,970.79,6.0
154,2013-12-03,5:07:03 PM,1,1,Sapl0173,Sapl0042,11.0,140.45,6.0
155,2013-12-03,5:10:51 PM,1,1,Sapl0173,Sapl0038,11.0,199.66,6.0
156,2013-12-03,5:14:26 PM,1,1,Sapl0173,Sapl0002,11.0,399.89,6.0
157,2013-12-03,5:15:58 PM,1,1,Sapl0173,Sapl0003,11.0,1422.59,6.0
158,2013-12-03,5:28:52 PM,1,1,Sapl0173,Sapl0172,11.0,363.15,6.0
159,2013-12-03,5:30:11 PM,1,1,Sapl0173,Sapl0009,11.0,405.06,6.0
160,2013-12-03,5:31:06 PM,1,1,Sapl0173,Sapl0013,11.0,562.92,6.0
161,2013-12-03,5:32:29 PM,1,1,Sapl0173,Sapl0053,11.0,140.79,6.0
162,2013-12-03,5:33:43 PM,1,1,Sapl0173,Sapl0028,11.0,167.98,6.0
163,2013-12-03,5:34:53 PM,1,1,Sapl0173,Sapl0056,11.0,174.16,6.0
164,2013-12-03,5:36:12 PM,1,1,Sapl0173,Sapl0161,11.0,438.43,6.0
165,2013-12-03,5:41:41 PM,1,1,Sapl0173,Sapl0040,11.0,471.58,6.0
166,2013-12-03,5:44:34 PM,1,1,Sapl0173,Sapl0073,11.0,427.31,6.0
167,2013-12-03,5:45:47 PM,1,1,Sapl0173,Sapl0082,11.0,193.6,6.0
168,2013-12-03,5:47:33 PM,1,1,Sapl0173,Sapl0076,11.0,1587.98,6.0
169,2013-12-03,5:48:47 PM,1,1,Sapl0173,Sapl0010,11.0,214.95,6.0
170,2013-12-03,5:51:26 PM,1,1,Sapl0173,Sapl0008,11.0,549.55,6.0
171,2013-12-03,5:52:39 PM,1,1,Sapl0173,Sapl0153,11.0,697.08,6.0
172,2013-12-03,5:53:45 PM,1,1,Sapl0173,Sapl0036,11.0,520.68,6.0
173,2013-12-03,5:56:46 PM,1,1,Sapl0173,Sapl0005,11.0,198.2,6.0
174,2013-12-03,5:58:19 PM,1,1,Sapl0173,Sapl0018,11.0,495.4,6.0
175,2013-12-03,5:59:11 PM,1,1,Sapl0173,Sapl0043,11.0,140.45,6.0
176,2013-12-03,6:01:29 PM,1,1,Sapl0173,Sapl0068,11.0,598.21,6.0
177,2013-12-03,6:03:59 PM,1,1,Sapl0173,Sapl0049,11.0,393.09,6.0
178,2013-12-03,6:04:53 PM,1,1,Sapl0173,Sapl0112,11.0,154.27,6.0
179,2013-12-03,6:05:53 PM,1,1,Sapl0173,Sapl0019,11.0,528.77,6.0
180,2013-12-03,6:06:46 PM,1,1,Sapl0173,Sapl0143,11.0,141.46,6.0
181,2013-12-03,6:07:46 PM,1,1,Sapl0173,Sapl0122,11.0,140.45,6.0
182,2013-12-03,6:08:49 PM,1,1,Sapl0173,Sapl0044,11.0,281.91,6.0
183,2013-12-03,6:09:44 PM,1,1,Sapl0173,Sapl0032,11.0,140.45,6.0
184,2013-12-03,6:12:10 PM,1,1,Sapl0173,Sapl0059,11.0,154.72,6.0
185,2013-12-03,6:13:14 PM,1,1,Sapl0173,Sapl0062,11.0,676.74,6.0
186,2013-12-04,10:19:15 AM,1,1,Sapl0173,Sapl0071,11.0,364.83,6.0
187,2013-12-04,10:20:12 AM,1,1,Sapl0173,Sapl0031,11.0,200.56,6.0
